PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
437,0,0,0,34.98,-69.57,0,0,0,0
438,0,0,0,35.13,-67.05,0,0,0,0
439,0,0,0,36.34,-67.12,0,0,0,0
440,0,0,0,36.4,-65.46,0,0,0,0
441,0,0,0,35.23,-65.38,0,0,0,0
442,0,0,0,35.34,-62.9,0,0,0,0
443,0,0,0,36.54,-62.97,0,0,0,0
444,0,0,0,35.36,-62.91,0,0,0,0
445,0,0,0,35.5,-60.4,0,0,0,0
446,0,0,0,36.58,-60.47,0,0,0,0
447,0,0,0,27.65,-62.39,0,0,0,0
448,0,0,0,29.25,-62.5,0,0,0,0
449,0,0,0,29.4,-60.04,0,0,0,0
450,0,0,0,27.79,-59.91,0,0,0,0
451,0,0,0,27.47,-64.88,0,0,0,0
452,0,0,0,29.09,-64.99,0,0,0,0
453,0,0,0,29.25,-62.56,0,0,0,0
454,0,0,0,27.34,-69.08,0,0,0,0
455,0,0,0,28.87,-69.16,0,0,0,0
456,0,0,0,29.01,-66.64,0,0,0,0
457,0,0,0,27.5,-66.54,0,0,0,0
458,0,0,0,27.3,-71.57,0,0,0,0
459,0,0,0,28.72,-71.67,0,0,0,0
460,0,0,0,28.86,-69.18,0,0,0,0
461,0,0,0,26.92,-76.24,0,0,0,0
462,0,0,0,28.39,-76.33,0,0,0,0
463,0,0,0,28.56,-73.82,0,0,0,0
464,0,0,0,27.1,-73.74,0,0,0,0
465,0,0,0,26.86,-78.74,0,0,0,0
466,0,0,0,28.26,-78.81,0,0,0,0
467,0,0,0,28.38,-76.35,0,0,0,0
468,0,0,0,26.32,-82.77,0,0,0,0
469,0,0,0,28.01,-82.89,0,0,0,0
470,0,0,0,28.14,-80.4,0,0,0,0
471,0,0,0,26.48,-80.28,0,0,0,0
472,0,0,0,26.27,-85.26,0,0,0,0
473,0,0,0,27.85,-85.38,0,0,0,0
474,0,0,0,27.98,-82.93,0,0,0,0
475,0,0,0,77.46,-127.55,0,0,0,0
476,0,0,0,78.95,-127.64,0,0,0,0
477,0,0,0,78.88,-130.13,0,0,0,0
